vehicle,lon,lat,x_web_mercator,y_web_mercator,heading_deg,acc_FACE,acc_CachedDFL,acc_V2V,acc_LearningAware
35,127.082567,37.483264,14146766.6,4506683.3,-173.9,0.3573,0.3573,0.3573,0.3573
36,127.102395,37.486993,14148973.9,4507206.5,72.7,0.3155,0.3155,0.3155,0.3155
37,127.136333,37.480732,14152751.9,4506328.1,50.3,0.7332,0.7332,0.7332,0.7332
38,127.136069,37.480387,14152722.5,4506279.8,-13.8,0.3271,0.3271,0.3271,0.3271
39,127.062626,37.494301,14144546.8,4508231.8,72.7,0.6067,0.6056,0.6044,0.6067
40,127.047141,37.487020,14142823.0,4507210.3,33.7,0.6427,0.4861,0.3852,0.4211
41,127.037457,37.484923,14141745.0,4506916.1,26.9,0.7668,0.5870,0.6497,0.6276
42,127.023934,37.505632,14140239.7,4509821.7,-69.2,0.5232,0.5696,0.5313,0.5336
43,126.991136,37.544560,14136588.6,4515285.7,97.8,0.8666,0.3538,0.3550,0.8515
44,127.019755,37.515784,14139774.5,4511246.3,225.0,0.6415,0.4513,0.4722,0.5070
45,127.098245,37.465729,14148511.9,4504223.8,175.1,0.3271,0.3271,0.3469,0.3271
46,127.005283,37.506344,14138163.4,4509921.6,178.8,0.7900,0.8353,0.8260,0.7900
47,127.128991,37.469382,14151934.5,4504736.1,-91.5,0.6520,0.6810,0.6659,0.6984
48,127.127110,37.469578,14151725.2,4504763.6,172.9,0.6497,0.6497,0.6473,0.6508
49,127.039649,37.469188,14141989.0,4504708.9,119.2,0.7517,0.7285,0.7738,0.7517
50,127.026765,37.499339,14140554.8,4508938.6,129.8,0.7123,0.4211,0.4988,0.3561
51,127.127042,37.476217,14151717.6,4505694.8,138.9,0.3619,0.3619,0.3550,0.3619
52,126.960658,37.520768,14133195.8,4511945.9,-119.2,0.6891,0.7749,0.7761,0.6891
53,126.956576,37.514650,14132741.4,4511087.2,-120.5,0.6682,0.6682,0.7645,0.6682
54,127.063106,37.455588,14144600.3,4502801.6,88.8,0.6497,0.3271,0.3619,0.4037
55,127.021579,37.510164,14139977.5,4510457.7,-116.8,0.5568,0.6299,0.6102,0.5905
